@T,table
Created,2018-05-11 12:38
Author,HortonMachine library
@H,timestamp,value_135,value_105,value_106,value_108,value_112,value_49,value_145,value_50,value_51,value_147,value_52,value_53,value_54,value_55,value_56
ID,,135,105,106,108,112,49,145,50,51,147,52,53,54,55,56
Type,Date,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Format,yyyy-MM-dd HH:mm,,,,,,,,,,,,,,,
,2007-01-01 00:00,226.97310015749042,218.8071571401807,223.34225029271144,223.19342978379086,232.34834555696955,221.034443161973,230.98495279384076,222.23518645934266,221.54997290676744,226.94255274498352,233.02331109739262,229.00871412607432,229.8658930663219,233.33135673527752,234.92797768252103
,2007-01-01 01:00,229.01865025043904,220.72844500217988,225.48693012910977,225.33289121165402,234.52447510155048,223.0843521891645,232.82632972653286,224.25658906605275,223.5438304663728,228.8118327221764,235.0766522171962,230.96858956706288,231.886023037798,235.26688489360632,236.70546758048403
,2007-01-01 02:00,228.76309447833134,220.50156981730962,225.1287895073847,224.97903733157435,234.12890801703367,222.78180405877055,232.72969274495898,223.9997480639993,223.30031611165947,228.65855927633208,234.8621110308588,230.79246648627063,231.63446431980515,235.00938357342912,236.3812487374137
,2007-01-01 03:00,228.5260149372077,220.04143167453344,224.59623439916922,224.5227197437133,233.8090429007952,222.2555869296776,232.71467870438258,223.60711835578604,222.89534152420083,228.64203735995878,234.5850375736771,230.64586796436993,231.49579240447133,235.00446359641802,236.47349337755875
,2007-01-01 04:00,228.79794317353065,220.38115786926258,224.7752020270361,224.69616174500965,233.96990616795875,222.5052307248135,233.15398196655863,223.8872905410691,223.1956623199001,229.017982421378,234.92097947596477,231.0015388012322,231.7823625319959,235.32581155837505,236.8209696250132
,2007-01-01 05:00,227.61856335782284,218.71806642990572,223.39114738105698,223.44759645761664,232.97659898059473,220.96063976320906,231.8396681993301,222.45043615168467,221.6938880463735,227.88911209759942,233.49593944642513,229.715050382643,230.71801553118735,234.41562191295276,236.0848556604177
,2007-01-01 06:00,228.9275878006466,219.91775440012805,224.46911189907064,224.56908669155277,234.17615909086106,222.076150184788,233.2703879645355,223.67925591807563,222.92369806738185,229.26955612730268,234.86824903224536,231.10499357260068,232.06104156286875,235.7563889420241,237.32221811020386
,2007-01-01 07:00,229.36588410739205,220.10332597818876,224.69292291897426,224.86327249822878,234.62672957545166,222.26006951183422,233.8100427214472,223.9632269890698,223.18465705969862,229.83253948872155,235.25419169474125,231.57379139942225,232.58394356627625,236.39399708470143,238.0536481322357
,2007-01-01 08:00,226.5153350894438,216.9356319546618,221.7482782876267,222.01301182826617,232.00097960129028,219.1898162462632,230.87151106156006,220.93583085723307,220.1089053391673,227.0885929070082,232.13967683002707,228.63152785310862,229.85549087601015,233.87992181938083,235.92453935062662
,2007-01-01 09:00,229.56088142265506,219.57445700715448,224.4044315645295,224.7764040451617,235.10067829676493,221.79805955667237,234.07801247630798,223.72384658206008,222.86525620953256,230.28338401494233,235.19759759737843,231.75120795994917,233.04559106640573,237.24175853369132,239.4148130684314
,2007-01-01 10:00,232.8465981296288,222.33068267630446,227.16804156006773,227.65572017224042,238.3306476660498,224.5172118265624,237.76777979488452,226.68257175273382,225.78388566659575,233.91895472504672,238.51430014398233,235.21723505330016,236.53463350275453,240.98275038778718,243.29969486918634
