@T,table
Created,2018-05-11 12:39
Author,HortonMachine library
@H,timestamp,value_135,value_105,value_106,value_108,value_112,value_49,value_145,value_50,value_51,value_147,value_52,value_53,value_54,value_55,value_56
ID,,135,105,106,108,112,49,145,50,51,147,52,53,54,55,56
Type,Date,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Format,yyyy-MM-dd HH:mm,,,,,,,,,,,,,,,
,2007-01-02 07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2007-01-02 08:00,255.0221822507643,82.94680878737256,160.11328935440565,39.22316935294139,0.0,234.64959483734583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2007-01-02 09:00,428.8868131118776,235.67170376344396,346.0449385178287,86.47474627642244,484.1589001554859,416.25820255572825,0.0,222.90376741837056,239.0787000691878,0.0,605.5559388025383,0.0,316.2095475822439,0.0,0.0
,2007-01-02 10:00,477.59636894043007,355.761982728837,464.44278316116635,99.6356821506733,688.491697214677,487.58303587517275,0.0,352.78680789732874,389.0429498290075,0.0,754.0578855204263,0.0,412.66603617085667,0.0,0.0
,2007-01-02 11:00,440.32054853168376,422.3181682467652,512.7687581625967,76.29250762877575,813.5090309252622,475.9995682977968,0.0,431.9338205218798,487.75815936032654,40.627443941292064,798.739387779134,0.0,441.3598057511827,679.2589611891663,0.0
,2007-01-02 12:00,336.32794790701803,427.2283245708256,490.2468117503782,0.0,849.1532131502184,394.9016322862443,110.4758176707662,449.31114273831,521.0244060554647,58.13591458200095,749.4050583688753,0.0,404.550013589254,675.9547245790045,108.95027073575407
,2007-01-02 13:00,186.27193559443768,369.42369048005554,401.18487780860727,0.0,788.126503218265,260.134631233373,191.808814069603,401.3689891620529,482.1463142396438,47.099969743910194,615.8124886864322,0.0,309.6174945047455,589.5029548723078,190.32887146427765
,2007-01-02 14:00,0.0,254.64734442329853,257.2309159309682,0.0,622.8462856831579,97.5266864610344,216.49448648501817,0.0,369.12037339661595,12.405412326101468,412.3681016868951,0.0,172.52936893077722,424.78902593532456,214.23136248762333
,2007-01-02 15:00,0.0,98.72253091083336,0.0,0.0,326.0925103756455,0.0,0.0,0.0,0.0,0.0,161.73960568744596,0.0,31.170671609391075,188.26320324760044,143.95991352950176
,2007-01-02 16:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2007-01-02 17:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2007-01-02 18:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2007-01-02 19:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2007-01-02 20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2007-01-02 21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2007-01-02 22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2007-01-02 23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2007-01-03 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2007-01-03 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2007-01-03 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2007-01-03 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2007-01-03 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2007-01-03 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2007-01-03 06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2007-01-03 07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2007-01-03 08:00,258.4171868640306,84.48769048111541,162.45063623335844,40.47771162590661,0.0,237.83101679991537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2007-01-03 09:00,431.5453704892688,237.64545479875667,348.393422002428,88.10295129607233,486.3576279569089,418.9259602590979,0.0,224.77986541702938,240.93110849166501,0.0,608.4438573437271,0.0,318.4568250334087,0.0,0.0
,2007-01-03 10:00,479.837380132856,357.8387016795962,466.6882625640047,101.33283476465303,690.4903174654323,489.90911194490707,0.0,354.806351086956,391.0592224998265,0.0,756.4603201050979,0.0,414.8095113575409,0.0,0.0
,2007-01-03 11:00,442.006145978572,424.1746352794475,514.6169741241597,77.90225985819201,814.9181270306615,477.80781538015253,0.0,433.74590494442634,489.55998289263664,42.179558946608324,800.3976848601303,0.0,443.13124093892645,680.908336928974,0.0
,2007-01-03 12:00,337.5864236316895,428.75900294514906,491.6837013373947,0.0,850.0020772781767,396.2626822598893,111.86449341978192,450.80654111807746,522.4805413050957,59.67332783571683,750.4004726353928,0.0,405.9591330883557,677.1084686153241,110.23986923471062
,2007-01-03 13:00,0.0,370.7896727284091,402.43393918424005,0.0,788.8204833102061,261.280531634038,193.1934213781828,402.71177689427674,483.45008149540377,48.55412285150436,616.5806789148077,0.0,310.8552064231661,590.4918907626328,191.61875470237374
,2007-01-03 14:00,0.0,255.97372327241203,258.44137922379537,0.0,623.9167358457184,98.49848240696544,217.94504241693502,0.0,370.5005379489217,13.66852528909101,413.2727728676804,0.0,173.68794334099263,425.98350319904563,215.61290992472482
,2007-01-03 15:00,0.0,100.03938815510475,0.0,0.0,328.61987391241115,0.0,0.0,0.0,0.0,0.0,163.09942073154167,0.0,31.966353862206454,190.04224199061545,145.77839125485173
,2007-01-03 16:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2007-01-03 17:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2007-01-03 18:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2007-01-03 19:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2007-01-03 20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2007-01-03 21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
